timestamp,area_name,traffic_level,nearby_events,day_of_week,total_slots,occupied_slots,available_slots
2024-01-01 01:00:00,City Center,2,0,4,150,22,128
2024-01-01 04:00:00,Tech Park,5,0,1,75,29,46
2024-01-01 12:00:00,Metro Station,5,0,4,100,35,65
2024-01-01 13:00:00,Railway Station,5,0,4,100,44,56
2024-01-01 17:00:00,Metro Station,10,0,4,200,157,43
2024-01-01 18:00:00,Tech Park,5,1,2,75,45,30
2024-01-01 18:00:00,Tech Park,1,0,5,75,8,67
2024-01-01 18:00:00,Cricket Stadium,2,0,4,150,25,125
2024-01-01 20:00:00,Airport,4,0,6,200,60,140
2024-01-01 21:00:00,Railway Station,2,0,0,150,26,124
2024-01-01 22:00:00,Shopping Mall,4,0,1,100,32,68
2024-01-01 23:00:00,Cricket Stadium,6,0,2,100,50,50
2024-01-02 00:00:00,Tech Park,6,0,4,100,46,54
2024-01-02 00:00:00,Shopping Mall,3,0,6,200,52,148
2024-01-02 01:00:00,Shopping Mall,3,0,5,100,22,78
2024-01-02 02:00:00,Airport,3,0,5,150,38,112
2024-01-02 04:00:00,Tech Park,3,0,0,50,13,37
2024-01-02 04:00:00,City Center,7,0,1,150,79,71
2024-01-02 04:00:00,City Center,4,1,2,75,40,35
2024-01-02 06:00:00,Airport,2,0,0,100,16,84
2024-01-02 06:00:00,Metro Station,7,0,1,150,79,71
2024-01-02 10:00:00,Cricket Stadium,2,0,3,150,29,121
2024-01-02 12:00:00,Railway Station,3,0,2,75,17,58
2024-01-02 13:00:00,City Center,8,0,5,100,65,35
2024-01-02 13:00:00,Metro Station,7,0,5,100,54,46
2024-01-02 14:00:00,Shopping Mall,1,0,4,150,8,142
2024-01-02 16:00:00,Tech Park,9,0,3,75,51,24
2024-01-02 17:00:00,Railway Station,1,0,1,200,18,182
2024-01-02 20:00:00,Tech Park,1,0,3,100,10,90
2024-01-02 20:00:00,City Center,9,0,4,200,147,53
2024-01-02 21:00:00,Railway Station,3,0,3,75,17,58
2024-01-02 22:00:00,Railway Station,2,0,3,75,8,67
2024-01-03 00:00:00,Shopping Mall,3,0,5,100,28,72
2024-01-03 00:00:00,Shopping Mall,4,0,1,100,27,73
2024-01-03 00:00:00,Railway Station,9,0,3,100,67,33
2024-01-03 00:00:00,Tech Park,8,0,3,200,133,67
2024-01-03 03:00:00,Cricket Stadium,6,0,1,150,73,77
2024-01-03 06:00:00,Airport,1,0,4,150,17,133
2024-01-03 07:00:00,Shopping Mall,1,0,2,75,11,64
2024-01-03 07:00:00,City Center,1,0,2,150,7,143
2024-01-03 07:00:00,Airport,3,0,1,75,13,62
2024-01-03 08:00:00,City Center,3,0,5,100,24,76
2024-01-03 08:00:00,Airport,8,0,2,150,95,55
2024-01-03 09:00:00,Metro Station,6,0,5,150,71,79
2024-01-03 10:00:00,Shopping Mall,8,0,5,50,35,15
2024-01-03 11:00:00,Airport,1,0,0,200,17,183
2024-01-03 12:00:00,Airport,8,0,0,100,68,32
2024-01-03 13:00:00,Metro Station,8,0,6,200,123,77
2024-01-03 13:00:00,Cricket Stadium,6,0,6,100,49,51
2024-01-03 13:00:00,Tech Park,5,0,0,200,75,125
2024-01-03 13:00:00,Tech Park,5,0,1,100,37,63
2024-01-03 16:00:00,Metro Station,2,0,6,75,10,65
2024-01-03 16:00:00,Shopping Mall,8,0,5,100,67,33
2024-01-03 17:00:00,Airport,6,0,1,75,38,37
2024-01-03 17:00:00,Metro Station,7,0,4,150,89,61
2024-01-03 18:00:00,City Center,10,0,0,150,123,27
